SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
Augusta HMS (1777),64 gun Frigate,Royal Navy,Ship-of-the-line,1763.0,"Rotherhithe, England",1777-10-23,1777.0,10,23,"Gloucester, NJ",,,39.8026495,-75.0536407,Grounded; burned,Wood,England,159.0,44.4,18.9,1381.0,,,,In battle,Francis Reynolds,,,42.0,,,,,Y,Y,N,Exploded; Sank; Battle of Red Bank,39.8026495,-75.0536407
Zebra HMS,,British Navy,14 gun sloop,1777.0,"Ipswitch, England",1778-10-21,1778.0,10,21,Little Egg Harbor Inlet,,,39.6204823,-74.319235,Grounded; burned by British,Wood,England,97.0,26.0,12.0,306.0,,,,,Henry Collins,125.0,,0.0,,,,,Y,Y,N,Burned to avoid capture,39.6204823,-74.319235
Roebuck,44 gun Frigate,Royal Navy,Frigate,1774.0,"Chatham, England",,1811.0,,,"Sheerness, England",,,51.44011,0.764158,Dismantled 1811,Wood,England,140.0,37.8,16.4,,,,,,Andrew Snape Hammond,280.0,,0.0,,,,,N,N,N,Dismantled 1811,51.44011,0.764158
Sparrow,,"Gerrard Wilson, et al",Schooner,1811.0,Virginia,1813-11-03,1813.0,11,3,"Long Branch, NJ",,,40.3042778,-73.9923596,Grounded; Abandoned,,,69.0,18.4,7.6,83.0,,"Baltimore, MD","New Orleans, LA",,Ezekial Hall,16.0,,0.0,,,Sugar and lead pigs,,Y,Y,N,"War loss; Chased by GB ""Plantagenet""",40.3042778,-73.9923596
Surprise,,"Hollins, et al",Schooner,1813.0,"St Michaels, MD",1815-04-04,1815.0,4,4,Manasquan E 23 mi,,,40.1211544,-74.0473991,Stranded,,US,110.0,25.7,11.1,301.0,,"Baltimore, MD","New York, NY","Baltimore, MD",Barnes,150.0,,30.0,,,Dry goods,,Y,Y,N,Total loss,40.1211544,-74.0473991
Early Bird,,Bentley Gildersleeve & Co,Schooner,1865.0,"East Haddon, CT",1815-03-26,1815.0,3,26,Townsends Inlet North bar,,,39.1265265,-74.7114399,Stranded,,,,,8.0,151.0,,"New York, NY","New York, NY","St Augustine, FL",Reed,6.0,,0.0,5500.0,9000.0,General,,N,N,N,Refloated,39.1265265,-74.7114399
President (1815),,U S Navy,Frigate,1800.0,"East River, NY",1815-01-14,1815.0,1,14,Sandy Hook,,,41.4218208,-73.2833176,Captured,Wood,US,173.0,44.0,13.1,1576.0,,,,,Decature,,,,,,,,Y,Y,N,Captured by British,41.4218208,-73.2833176
Citizen,,,Merchantman,,,1822-04-19,1822.0,4,9,Brigantine Shoal E 3 mi,39.37272,-74.34577,39.4101171,-74.3645906,Wrecked,,,,,17.0,,,,Manila,"New York, NY",,,,,,,,,A,Y,N,Sank,39.37272,-74.34577
Walter Irving,,,Schooner,1851.0,"Essex, MA",1822-03-01,1822.0,3,1,Barnegat Shoal,,,39.7705251,-74.26185,Stranded,,,,,10.0,95.91,90.0,"South Thomaston, ME","Baltimore, MD","South Thomaston, ME",,6.0,,0.0,11000.0,,Corn,,N,N,N,Refloated,39.7705251,-74.26185
Amity,,,Packet ship,1816.0,"New York, NY",1824-04-23,1824.0,4,23,Squan Beach,,,-,-,Stranded in fog,,,106.6,28.6,14.3,382.0,,,"Liverpool, England","New York, NY",John Stantion,,,,,,,,,,N,,,
William Wallace (1825),,,Packet ship,1822.0,"Hudson, NY",1825-08-21,1825.0,8,21,Atlantic City,,,39.3642834,-74.4229266,Stranded,,,86.9,25.4,12.0,228.0,,,,,,,,,,,,,,,N,,39.3642834,-74.4229266
Franklin (1825),,,Packet ship,1819.0,"Killingworth, CT",1825-04-28,1825.0,4,28,Island Beach,,,40.9889604,-73.6113062,Grounded in fog,,,84.0,25.1,11.6,212.0,,,,,Joseph Monroe,,,,,,,,,,N,Cargo plundered by locals,40.9889604,-73.6113062
Lewis,,"Depau, Bell et al",Packet ship,1822.0,"New York, NY",1827-03-06,1827.0,3,6,Squam Beach,,,41.316788,-69.9911252,Stranded,Wood,US,111.6,28.1,14.5,412.0,,"New York, NY","Havre, France","New York, NY",Macy,19.0,7.0,0.0,,,,,Y,Y,N,Total loss; Cargo taken by land pirates,41.316788,-69.9911252
Aurora (1827),,Robert Kermit,Ship,1823.0,"Bath, ME",1827-11-07,1827.0,11,7,Sandy Hook,,,41.4218208,-73.2833176,Stranded,Wood,US,105.1,27.3,7.5,347.0,,,"Liverpool, England","New York, NY",J Taubman,8.0,40.0,6.0,,50000.0,"Coal, crates, hardware, slate",,,Y,Y,Cargo salvaged from top decks; Cargo in hold was lost.,41.4218208,-73.2833176
Columbia (1828),,Red Swallowtail Line,Packet ship,1821.0,"New York, NY",1828-01-17,1828.0,1,17,Deal Beach,,,40.2512782,-73.9921853,Grounded,,,123.0,29.1,14.11,492.0,,,"London, England","New York, NY",,52.0,,,,,General,,N,N,N,Refloated,40.2512782,-73.9921853
President (1831),,,Packet ship,1818.0,"Fairfield, CT",1831-12-05,1831.0,12,5,Sandy Hook,,,41.4218208,-73.2833176,Grounded in storm,,,94.0,24.9,11.9,243.0,,,"Charleston, SC",,Wilson,20.0,,0.0,,,,,,,N,,41.4218208,-73.2833176
